,Year,Runtime (Minutes),Rating,Votes,Metascore,Revenue (Millions),imdb_avg_cast_pts,yga_avg_cast_rank,imdb_avg_director_pts,yga_avg_director_rank,genre_avg_rank,revenue_groups
799,2011,106,6.6,187004,70.0,75.64,70544.75,250.0,23802,40,5.0,3
800,2015,133,6.4,17565,72.0,0.08,19986.666666666668,765.0,0,0,7.666666666666667,1
801,2007,96,7.2,117297,74.0,82.23,11780.5,986.6666666666666,0,0,4.666666666666667,3
802,2013,89,7.2,66265,65.0,0.07,0.0,0.0,0,0,8.0,1
803,2009,122,6.7,33007,60.0,36.84,0.0,957.0,1482,0,8.333333333333334,2
804,2016,156,7.5,17962,81.0,0.79,0.0,0.0,0,0,7.666666666666667,1
805,2012,103,6.6,257395,51.0,85.02,17470.0,166.5,0,0,3.3333333333333335,3
806,2006,147,7.5,199387,56.0,2.21,37624.0,239.5,10146,0,6.0,1
807,2007,113,6.1,155078,51.0,70.08,33811.0,139.0,2535,118,5.666666666666667,3
808,2010,97,6.4,67801,62.0,0.12,17656.666666666668,896.0,0,0,2.0,1
809,2015,93,6.3,31651,32.0,3.64,0.0,0.0,0,0,6.666666666666667,1
810,2009,102,6.4,152808,48.0,64.15,0.0,582.0,0,0,5.666666666666667,3
811,2015,103,6.8,57921,38.0,27.29,19273.0,519.3333333333334,0,0,4.5,2
812,2006,154,6.1,246797,72.0,200.07,38641.5,743.6666666666666,17703,0,2.6666666666666665,4
813,2011,117,4.9,190244,45.0,281.28,17026.0,901.6666666666666,840,0,3.3333333333333335,4
814,2009,110,7.3,91623,79.0,47.54,12394.0,1017.0,2878,67,3.0,2
815,2015,110,5.9,7475,23.0,0.02,40341.333333333336,569.0,16782,0,3.0,1
816,2012,144,7.1,112902,0.0,16.38,55750.0,313.5,17949,0,3.0,2
817,2011,113,5.9,39380,58.0,51.78,8559.0,339.5,0,0,8.0,3
818,2014,107,6.8,92170,46.0,50.46,12900.0,1457.0,0,0,8.666666666666666,3
819,2016,120,6.2,4669,82.0,0.22,0.0,0.0,0,0,9.0,1
820,2006,108,6.6,137502,66.0,148.21,14164.666666666666,572.3333333333334,4476,108,7.333333333333333,4
821,2009,92,4.4,60655,33.0,0.18,0.0,0.0,0,0,14.0,1
822,2010,96,6.8,64535,50.0,0.32,24377.0,257.0,0,0,3.5,1
823,2009,109,7.4,279694,0.0,83.81,40748.0,507.0,14740,0,7.0,3
824,2008,98,6.1,50255,58.0,0.07,53153.0,267.0,0,0,13.0,1
825,2010,124,4.9,192740,58.0,300.52,17026.0,901.6666666666666,0,0,3.3333333333333335,4
826,2011,106,6.1,62095,35.0,13.99,6874.333333333333,585.5,0,0,7.5,1
827,2013,119,6.4,132098,49.0,42.0,15124.0,700.5,0,123,4.666666666666667,2
